instance,init,BK
a1_1,49528750,44306501
a1_2,1061649570,777532896
a1_3,583662270,583005717
a1_4,632499600,247433844
a1_5,782189690,727578309
a2_1,391189190,167
a2_2,1876768120,720671548
a2_3,2272487840,1190713414
a2_4,3223516130,1680609218
a2_5,787355300,309714522
b_1,7644173180,3307124603
b_2,5181493830,1015517386
b_3,6336834660,156519816
b_4,9209576380,4677817475
b_5,12426813010,923312207
b_6,12749861240,9525421332
b_7,37946901700,14835031813
b_8,14068207250,1214086286
b_9,23234641520,15885524407
b_10,42220868760,18048499616
x_1,7422426760,3030246091
x_2,5103634830,1010050981
x_3,6119933380,259656
x_4,9207188610,4721727496
x_5,12369526590,144768
x_6,12753566360,9546958474
x_7,37763791230,14253133805
x_8,11611565600,83711
x_9,23146106380,16125675266
x_10,42201640770,17815045320